-3.0, -3.0, 0.0; 4
-2.0, -3.0, 0.0; 1
-1.0, -3.0, 0.0; 2
0.0, -3.0, 0.0; 2
1.0, 6.0, -3.0; 1
3.0, 3.0, 1.0; 1
-5.0, -2.0, 0.0; 1
-2.0, -2.0, 0.0; 3
3.0, -2.0, 0.0; 1
-3.0, 4.0, 1.0; 1
-2.0, -4.0, -5.0; 1
-1.0, -7.0, -1.0; 1
0.0, -7.0, -1.0; 1
-5.0, -1.0, 0.0; 2
2.0, -1.0, 0.0; 1
-3.0, -3.0, -5.0; 5
-2.0, -3.0, -5.0; 7
-1.0, -3.0, -5.0; 1
0.0, 5.0, 1.0; 1
1.0, -3.0, -5.0; 1
1.0
83.4422110553
