4.0, -4.0, 1.0; 3
-10.0, -3.0, 1.0; 5
-9.0, -3.0, 1.0; 3
-8.0, -3.0, 1.0; 2
-7.0, -3.0, 1.0; 4
-6.0, -3.0, 1.0; 3
3.0, -3.0, 1.0; 1
4.0, -3.0, 1.0; 1
5.0, -3.0, 1.0; 1
-8.0, -2.0, 1.0; 1
-6.0, -2.0, 1.0; 1
-10.0, -1.0, 1.0; 2
-8.0, -1.0, 1.0; 2
-7.0, -1.0, 1.0; 4
-6.0, -1.0, 1.0; 7
4.0, -1.0, 1.0; 1
-10.0, 0.0, 1.0; 3
-8.0, 0.0, 1.0; 2
-7.0, 0.0, 1.0; 5
-6.0, 0.0, 1.0; 13
5.0, 0.0, 1.0; 1
7.0, 0.0, 1.0; 1
-9.0, 1.0, 1.0; 1
-8.0, 1.0, 1.0; 2
-6.0, 1.0, 1.0; 7
-5.0, 1.0, 1.0; 8
-4.0, 1.0, 1.0; 1
6.0, 1.0, 1.0; 1
-9.0, 2.0, 1.0; 3
-8.0, 2.0, 1.0; 2
-7.0, 2.0, 1.0; 2
-6.0, 2.0, 1.0; 4
-5.0, 2.0, 1.0; 22
-4.0, 2.0, 1.0; 2
4.0, 2.0, 1.0; 1
7.0, 2.0, 1.0; 2
-9.0, 3.0, 1.0; 1
-8.0, 3.0, 1.0; 3
-7.0, 3.0, 1.0; 4
-5.0, 3.0, 1.0; 16
-4.0, 3.0, 1.0; 20
1.0, 3.0, 1.0; 1
3.0, 3.0, 1.0; 2
4.0, 3.0, 1.0; 1
-9.0, 4.0, 1.0; 1
-8.0, 4.0, 1.0; 2
-7.0, 4.0, 1.0; 6
-6.0, 4.0, 1.0; 13
-5.0, 4.0, 1.0; 12
-4.0, 4.0, 1.0; 16
-3.0, 4.0, 1.0; 12
-2.0, 4.0, 1.0; 7
-1.0, 4.0, 1.0; 1
0.0, 4.0, 1.0; 3
1.0, 4.0, 1.0; 12
2.0, 4.0, 1.0; 1
3.0, 4.0, 1.0; 2
4.0, 4.0, 1.0; 1
5.0, 4.0, 1.0; 2
8.0, 4.0, 1.0; 2
-9.0, 5.0, 1.0; 1
-8.0, 5.0, 1.0; 8
-7.0, 5.0, 1.0; 5
-6.0, 5.0, 1.0; 1
-5.0, 5.0, 1.0; 10
-4.0, 5.0, 1.0; 32
-3.0, 5.0, 1.0; 256
-2.0, 5.0, 1.0; 281
-1.0, 5.0, 1.0; 34
0.0, 5.0, 1.0; 24
1.0, 5.0, 1.0; 12
2.0, 5.0, 1.0; 4
3.0, 5.0, 1.0; 4
4.0, 5.0, 1.0; 1
5.0, 5.0, 1.0; 1
6.0, 5.0, 1.0; 1
7.0, 5.0, 1.0; 1
-8.0, 6.0, 1.0; 4
-7.0, 6.0, 1.0; 13
-6.0, 6.0, 1.0; 35
-5.0, 6.0, 1.0; 14
-4.0, 6.0, 1.0; 21
-3.0, 6.0, 1.0; 26
-2.0, 6.0, 1.0; 24
-1.0, 6.0, 1.0; 30
0.0, 6.0, 1.0; 17
1.0, 6.0, 1.0; 2
2.0, 6.0, 1.0; 3
3.0, 6.0, 1.0; 2
5.0, 6.0, 1.0; 1
6.0, 6.0, 1.0; 2
-6.0, 7.0, 1.0; 4
-5.0, 7.0, 1.0; 5
-4.0, 7.0, 1.0; 2
-3.0, 7.0, 1.0; 3
-2.0, 7.0, 1.0; 4
-1.0, 7.0, 1.0; 12
0.0, 7.0, 1.0; 2
1.0, 7.0, 1.0; 2
2.0, 7.0, 1.0; 4
3.0, 7.0, 1.0; 4
4.0, 7.0, 1.0; 1
5.0, 7.0, 1.0; 2
6.0, 7.0, 1.0; 1
-5.0, 8.0, 1.0; 2
-4.0, 8.0, 1.0; 4
-3.0, 8.0, 1.0; 5
-2.0, 8.0, 1.0; 7
-1.0, 8.0, 1.0; 4
0.0, 8.0, 1.0; 4
1.0, 8.0, 1.0; 5
2.0, 8.0, 1.0; 5
3.0, 8.0, 1.0; 2
4.0, 8.0, 1.0; 2
-4.0, 9.0, 1.0; 1
-3.0, 9.0, 1.0; 14
-2.0, 9.0, 1.0; 10
-1.0, 9.0, 1.0; 7
0.0, 9.0, 1.0; 7
1.0, 9.0, 1.0; 5
2.0, 9.0, 1.0; 1
-3.0, -10.0, 2.0; 2
-2.0, -10.0, 2.0; 5
-1.0, -10.0, 2.0; 3
-5.0, -9.0, 2.0; 3
-4.0, -9.0, 2.0; 5
-3.0, -9.0, 2.0; 6
-2.0, -9.0, 2.0; 5
-1.0, -9.0, 2.0; 2
0.0, -9.0, 2.0; 3
1.0, -9.0, 2.0; 6
2.0, -9.0, 2.0; 1
3.0, -9.0, 2.0; 2
5.0, -9.0, 2.0; 1
-7.0, -8.0, 2.0; 2
-6.0, -8.0, 2.0; 5
-5.0, -8.0, 2.0; 6
-4.0, -8.0, 2.0; 3
-3.0, -8.0, 2.0; 2
-2.0, -8.0, 2.0; 1
-1.0, -8.0, 2.0; 3
0.0, -8.0, 2.0; 5
1.0, -8.0, 2.0; 3
2.0, -8.0, 2.0; 1
4.0, -8.0, 2.0; 1
5.0, -8.0, 2.0; 5
-8.0, -7.0, 2.0; 1
-7.0, -7.0, 2.0; 5
-6.0, -7.0, 2.0; 5
-5.0, -7.0, 2.0; 4
-3.0, -7.0, 2.0; 3
-2.0, -7.0, 2.0; 9
-1.0, -7.0, 2.0; 4
1.0, -7.0, 2.0; 7
2.0, -7.0, 2.0; 1
-8.0, -6.0, 2.0; 2
-7.0, -6.0, 2.0; 5
-6.0, -6.0, 2.0; 7
-5.0, -6.0, 2.0; 4
-4.0, -6.0, 2.0; 31
-3.0, -6.0, 2.0; 28
-2.0, -6.0, 2.0; 24
-1.0, -6.0, 2.0; 7
0.0, -6.0, 2.0; 1
1.0, -6.0, 2.0; 4
2.0, -6.0, 2.0; 2
3.0, -6.0, 2.0; 2
4.0, -6.0, 2.0; 1
6.0, -6.0, 2.0; 2
-8.0, -5.0, 2.0; 2
-7.0, -5.0, 2.0; 5
-6.0, -5.0, 2.0; 1
-5.0, -5.0, 2.0; 15
-4.0, -5.0, 2.0; 29
-3.0, -5.0, 2.0; 12
-1.0, -5.0, 2.0; 6
0.0, -5.0, 2.0; 3
1.0, -5.0, 2.0; 1
2.0, -5.0, 2.0; 6
3.0, -5.0, 2.0; 2
5.0, -5.0, 2.0; 1
-9.0, -4.0, 2.0; 2
-8.0, -4.0, 2.0; 2
-7.0, -4.0, 2.0; 1
-6.0, -4.0, 2.0; 4
-5.0, -4.0, 2.0; 10
-2.0, -4.0, 2.0; 1
0.0, -4.0, 2.0; 1
1.0, -4.0, 2.0; 6
2.0, -4.0, 2.0; 3
3.0, -4.0, 2.0; 3
-7.0, -3.0, 2.0; 3
-6.0, -3.0, 2.0; 4
-5.0, -3.0, 2.0; 2
-4.0, -3.0, 2.0; 3
4.0, -3.0, 2.0; 1
7.0, -3.0, 2.0; 2
-9.0, -2.0, 2.0; 1
-8.0, -2.0, 2.0; 1
-7.0, -2.0, 2.0; 2
-6.0, -2.0, 2.0; 3
-4.0, -2.0, 2.0; 2
-10.0, -1.0, 2.0; 1
-7.0, -1.0, 2.0; 4
-6.0, -1.0, 2.0; 7
-5.0, -1.0, 2.0; 3
5.0, -1.0, 2.0; 1
-9.0, 0.0, 2.0; 1
-8.0, 0.0, 2.0; 5
-7.0, 0.0, 2.0; 4
-6.0, 0.0, 2.0; 10
-5.0, 0.0, 2.0; 9
-10.0, 1.0, 2.0; 1
-9.0, 1.0, 2.0; 2
-8.0, 1.0, 2.0; 1
-7.0, 1.0, 2.0; 3
-6.0, 1.0, 2.0; 7
-5.0, 1.0, 2.0; 108
-4.0, 1.0, 2.0; 80
-3.0, 1.0, 2.0; 1
4.0, 1.0, 2.0; 1
5.0, 1.0, 2.0; 1
-8.0, 2.0, 2.0; 4
-7.0, 2.0, 2.0; 3
-6.0, 2.0, 2.0; 1
-5.0, 2.0, 2.0; 149
-4.0, 2.0, 2.0; 452
-3.0, 2.0, 2.0; 17
-2.0, 2.0, 2.0; 1
3.0, 2.0, 2.0; 2
7.0, 2.0, 2.0; 2
-9.0, 3.0, 2.0; 3
-8.0, 3.0, 2.0; 3
-7.0, 3.0, 2.0; 3
-6.0, 3.0, 2.0; 4
-5.0, 3.0, 2.0; 13
-4.0, 3.0, 2.0; 52
-3.0, 3.0, 2.0; 27
-2.0, 3.0, 2.0; 3
-1.0, 3.0, 2.0; 1
1.0, 3.0, 2.0; 1
3.0, 3.0, 2.0; 1
-8.0, 4.0, 2.0; 2
-7.0, 4.0, 2.0; 6
-6.0, 4.0, 2.0; 6
-5.0, 4.0, 2.0; 5
-4.0, 4.0, 2.0; 18
-3.0, 4.0, 2.0; 51
-2.0, 4.0, 2.0; 72
-1.0, 4.0, 2.0; 40
0.0, 4.0, 2.0; 18
1.0, 4.0, 2.0; 4
2.0, 4.0, 2.0; 1
3.0, 4.0, 2.0; 2
4.0, 4.0, 2.0; 1
5.0, 4.0, 2.0; 1
7.0, 4.0, 2.0; 1
-9.0, 5.0, 2.0; 1
-8.0, 5.0, 2.0; 6
-7.0, 5.0, 2.0; 3
-4.0, 5.0, 2.0; 11
-3.0, 5.0, 2.0; 66
-2.0, 5.0, 2.0; 143
-1.0, 5.0, 2.0; 36
0.0, 5.0, 2.0; 8
2.0, 5.0, 2.0; 2
3.0, 5.0, 2.0; 2
6.0, 5.0, 2.0; 1
-7.0, 6.0, 2.0; 4
-6.0, 6.0, 2.0; 12
-5.0, 6.0, 2.0; 1
-4.0, 6.0, 2.0; 2
-3.0, 6.0, 2.0; 13
-2.0, 6.0, 2.0; 7
-1.0, 6.0, 2.0; 4
0.0, 6.0, 2.0; 1
1.0, 6.0, 2.0; 1
2.0, 6.0, 2.0; 1
3.0, 6.0, 2.0; 2
4.0, 6.0, 2.0; 1
-7.0, 7.0, 2.0; 1
-6.0, 7.0, 2.0; 2
-5.0, 7.0, 2.0; 6
-4.0, 7.0, 2.0; 11
-3.0, 7.0, 2.0; 3
-2.0, 7.0, 2.0; 4
-1.0, 7.0, 2.0; 3
0.0, 7.0, 2.0; 1
1.0, 7.0, 2.0; 3
2.0, 7.0, 2.0; 1
3.0, 7.0, 2.0; 6
-5.0, 8.0, 2.0; 3
-4.0, 8.0, 2.0; 8
-3.0, 8.0, 2.0; 9
-2.0, 8.0, 2.0; 11
-1.0, 8.0, 2.0; 5
0.0, 8.0, 2.0; 5
1.0, 8.0, 2.0; 4
2.0, 8.0, 2.0; 4
3.0, 8.0, 2.0; 1
-4.0, 9.0, 2.0; 2
-3.0, 9.0, 2.0; 4
-2.0, 9.0, 2.0; 12
-1.0, 9.0, 2.0; 10
0.0, 9.0, 2.0; 9
1.0, 9.0, 2.0; 5
-2.0, -10.0, 3.0; 1
-5.0, -9.0, 3.0; 1
-4.0, -9.0, 3.0; 4
-3.0, -9.0, 3.0; 3
-2.0, -9.0, 3.0; 4
-1.0, -9.0, 3.0; 3
0.0, -9.0, 3.0; 2
1.0, -9.0, 3.0; 1
2.0, -9.0, 3.0; 1
-6.0, -8.0, 3.0; 4
-5.0, -8.0, 3.0; 3
-4.0, -8.0, 3.0; 2
-3.0, -8.0, 3.0; 13
-2.0, -8.0, 3.0; 6
-1.0, -8.0, 3.0; 3
0.0, -8.0, 3.0; 3
1.0, -8.0, 3.0; 3
2.0, -8.0, 3.0; 1
3.0, -8.0, 3.0; 3
4.0, -8.0, 3.0; 1
5.0, -8.0, 3.0; 1
-7.0, -7.0, 3.0; 1
-6.0, -7.0, 3.0; 4
-5.0, -7.0, 3.0; 7
-4.0, -7.0, 3.0; 2
-3.0, -7.0, 3.0; 2
-2.0, -7.0, 3.0; 1
-1.0, -7.0, 3.0; 1
0.0, -7.0, 3.0; 8
1.0, -7.0, 3.0; 7
2.0, -7.0, 3.0; 4
5.0, -7.0, 3.0; 1
-8.0, -6.0, 3.0; 1
-7.0, -6.0, 3.0; 9
-6.0, -6.0, 3.0; 7
-5.0, -6.0, 3.0; 4
-2.0, -6.0, 3.0; 2
-1.0, -6.0, 3.0; 1
0.0, -6.0, 3.0; 3
2.0, -6.0, 3.0; 1
5.0, -6.0, 3.0; 1
6.0, -6.0, 3.0; 1
-7.0, -5.0, 3.0; 4
-6.0, -5.0, 3.0; 1
-5.0, -5.0, 3.0; 1
-2.0, -5.0, 3.0; 1
-1.0, -5.0, 3.0; 4
0.0, -5.0, 3.0; 3
1.0, -5.0, 3.0; 2
2.0, -5.0, 3.0; 4
-9.0, -4.0, 3.0; 2
-8.0, -4.0, 3.0; 1
-7.0, -4.0, 3.0; 5
-6.0, -4.0, 3.0; 4
-5.0, -4.0, 3.0; 1
-4.0, -4.0, 3.0; 1
-3.0, -4.0, 3.0; 2
-2.0, -4.0, 3.0; 2
-1.0, -4.0, 3.0; 1
0.0, -4.0, 3.0; 2
1.0, -4.0, 3.0; 1
6.0, -4.0, 3.0; 1
-8.0, -3.0, 3.0; 1
-7.0, -3.0, 3.0; 7
-6.0, -3.0, 3.0; 11
-5.0, -3.0, 3.0; 2
-3.0, -3.0, 3.0; 2
-2.0, -3.0, 3.0; 1
-1.0, -3.0, 3.0; 3
0.0, -3.0, 3.0; 1
1.0, -3.0, 3.0; 1
4.0, -3.0, 3.0; 1
5.0, -3.0, 3.0; 3
6.0, -3.0, 3.0; 1
-9.0, -2.0, 3.0; 1
-7.0, -2.0, 3.0; 9
-6.0, -2.0, 3.0; 5
-5.0, -2.0, 3.0; 6
-4.0, -2.0, 3.0; 2
-2.0, -2.0, 3.0; 1
-1.0, -2.0, 3.0; 1
4.0, -2.0, 3.0; 1
-9.0, -1.0, 3.0; 3
-7.0, -1.0, 3.0; 3
-6.0, -1.0, 3.0; 2
-5.0, -1.0, 3.0; 5
-4.0, -1.0, 3.0; 6
-3.0, -1.0, 3.0; 5
-2.0, -1.0, 3.0; 1
1.0, -1.0, 3.0; 5
2.0, -1.0, 3.0; 2
3.0, -1.0, 3.0; 1
6.0, -1.0, 3.0; 1
-10.0, 0.0, 3.0; 1
-9.0, 0.0, 3.0; 3
-8.0, 0.0, 3.0; 3
-7.0, 0.0, 3.0; 1
-6.0, 0.0, 3.0; 1
-5.0, 0.0, 3.0; 6
-4.0, 0.0, 3.0; 16
-3.0, 0.0, 3.0; 5
4.0, 0.0, 3.0; 1
6.0, 0.0, 3.0; 4
-9.0, 1.0, 3.0; 4
-8.0, 1.0, 3.0; 3
-7.0, 1.0, 3.0; 3
-6.0, 1.0, 3.0; 2
-5.0, 1.0, 3.0; 11
-4.0, 1.0, 3.0; 46
-3.0, 1.0, 3.0; 21
-2.0, 1.0, 3.0; 1
2.0, 1.0, 3.0; 1
3.0, 1.0, 3.0; 1
4.0, 1.0, 3.0; 1
6.0, 1.0, 3.0; 1
-9.0, 2.0, 3.0; 2
-8.0, 2.0, 3.0; 2
-7.0, 2.0, 3.0; 5
-5.0, 2.0, 3.0; 3
-4.0, 2.0, 3.0; 57
-3.0, 2.0, 3.0; 71
-2.0, 2.0, 3.0; 7
-1.0, 2.0, 3.0; 2
0.0, 2.0, 3.0; 5
1.0, 2.0, 3.0; 1
2.0, 2.0, 3.0; 9
3.0, 2.0, 3.0; 1
4.0, 2.0, 3.0; 1
-9.0, 3.0, 3.0; 5
-8.0, 3.0, 3.0; 2
-7.0, 3.0, 3.0; 2
-6.0, 3.0, 3.0; 3
-5.0, 3.0, 3.0; 2
-4.0, 3.0, 3.0; 3
-3.0, 3.0, 3.0; 23
-2.0, 3.0, 3.0; 23
-1.0, 3.0, 3.0; 14
0.0, 3.0, 3.0; 9
1.0, 3.0, 3.0; 3
2.0, 3.0, 3.0; 5
3.0, 3.0, 3.0; 2
5.0, 3.0, 3.0; 2
6.0, 3.0, 3.0; 3
7.0, 3.0, 3.0; 1
-9.0, 4.0, 3.0; 1
-8.0, 4.0, 3.0; 8
-7.0, 4.0, 3.0; 3
-6.0, 4.0, 3.0; 4
-5.0, 4.0, 3.0; 2
-4.0, 4.0, 3.0; 2
-3.0, 4.0, 3.0; 6
-2.0, 4.0, 3.0; 13
-1.0, 4.0, 3.0; 9
0.0, 4.0, 3.0; 7
1.0, 4.0, 3.0; 2
3.0, 4.0, 3.0; 2
5.0, 4.0, 3.0; 2
-8.0, 5.0, 3.0; 5
-7.0, 5.0, 3.0; 9
-6.0, 5.0, 3.0; 5
-5.0, 5.0, 3.0; 3
-4.0, 5.0, 3.0; 2
-2.0, 5.0, 3.0; 4
-1.0, 5.0, 3.0; 2
0.0, 5.0, 3.0; 2
1.0, 5.0, 3.0; 2
2.0, 5.0, 3.0; 1
3.0, 5.0, 3.0; 2
4.0, 5.0, 3.0; 1
5.0, 5.0, 3.0; 1
6.0, 5.0, 3.0; 2
-7.0, 6.0, 3.0; 2
-6.0, 6.0, 3.0; 5
-5.0, 6.0, 3.0; 12
-4.0, 6.0, 3.0; 12
-3.0, 6.0, 3.0; 5
-2.0, 6.0, 3.0; 1
-1.0, 6.0, 3.0; 4
1.0, 6.0, 3.0; 2
2.0, 6.0, 3.0; 3
3.0, 6.0, 3.0; 4
-6.0, 7.0, 3.0; 3
-5.0, 7.0, 3.0; 4
-4.0, 7.0, 3.0; 6
-3.0, 7.0, 3.0; 6
-2.0, 7.0, 3.0; 9
-1.0, 7.0, 3.0; 6
0.0, 7.0, 3.0; 2
1.0, 7.0, 3.0; 4
2.0, 7.0, 3.0; 4
4.0, 7.0, 3.0; 3
6.0, 7.0, 3.0; 1
-5.0, 8.0, 3.0; 2
-4.0, 8.0, 3.0; 2
-3.0, 8.0, 3.0; 9
-2.0, 8.0, 3.0; 8
-1.0, 8.0, 3.0; 16
0.0, 8.0, 3.0; 6
1.0, 8.0, 3.0; 1
2.0, 8.0, 3.0; 7
3.0, 8.0, 3.0; 1
-3.0, 9.0, 3.0; 1
-2.0, 9.0, 3.0; 4
-1.0, 9.0, 3.0; 3
0.0, 9.0, 3.0; 1
-4.0, -9.0, 4.0; 2
-3.0, -9.0, 4.0; 2
-1.0, -9.0, 4.0; 1
1.0, -9.0, 4.0; 1
2.0, -9.0, 4.0; 1
3.0, -9.0, 4.0; 1
-5.0, -8.0, 4.0; 1
-3.0, -8.0, 4.0; 6
-1.0, -8.0, 4.0; 1
0.0, -8.0, 4.0; 3
1.0, -8.0, 4.0; 1
2.0, -8.0, 4.0; 2
3.0, -8.0, 4.0; 1
4.0, -8.0, 4.0; 2
-7.0, -7.0, 4.0; 1
-6.0, -7.0, 4.0; 1
-5.0, -7.0, 4.0; 2
-4.0, -7.0, 4.0; 6
-3.0, -7.0, 4.0; 4
-2.0, -7.0, 4.0; 9
-1.0, -7.0, 4.0; 6
0.0, -7.0, 4.0; 3
1.0, -7.0, 4.0; 1
3.0, -7.0, 4.0; 2
4.0, -7.0, 4.0; 3
5.0, -7.0, 4.0; 3
-8.0, -6.0, 4.0; 1
-6.0, -6.0, 4.0; 2
-5.0, -6.0, 4.0; 2
-4.0, -6.0, 4.0; 5
-3.0, -6.0, 4.0; 1
-2.0, -6.0, 4.0; 2
-1.0, -6.0, 4.0; 2
0.0, -6.0, 4.0; 1
3.0, -6.0, 4.0; 1
6.0, -6.0, 4.0; 1
-7.0, -5.0, 4.0; 1
-6.0, -5.0, 4.0; 1
-5.0, -5.0, 4.0; 2
-4.0, -5.0, 4.0; 5
-3.0, -5.0, 4.0; 3
-2.0, -5.0, 4.0; 3
-1.0, -5.0, 4.0; 2
0.0, -5.0, 4.0; 4
1.0, -5.0, 4.0; 2
6.0, -5.0, 4.0; 1
-7.0, -4.0, 4.0; 2
-6.0, -4.0, 4.0; 5
-5.0, -4.0, 4.0; 1
-4.0, -4.0, 4.0; 1
-3.0, -4.0, 4.0; 7
-2.0, -4.0, 4.0; 7
-1.0, -4.0, 4.0; 1
0.0, -4.0, 4.0; 4
1.0, -4.0, 4.0; 2
2.0, -4.0, 4.0; 1
4.0, -4.0, 4.0; 2
-7.0, -3.0, 4.0; 1
-6.0, -3.0, 4.0; 7
-5.0, -3.0, 4.0; 8
-4.0, -3.0, 4.0; 6
-3.0, -3.0, 4.0; 5
-2.0, -3.0, 4.0; 12
-1.0, -3.0, 4.0; 12
0.0, -3.0, 4.0; 2
1.0, -3.0, 4.0; 1
5.0, -3.0, 4.0; 3
-9.0, -2.0, 4.0; 1
-8.0, -2.0, 4.0; 3
-7.0, -2.0, 4.0; 1
-6.0, -2.0, 4.0; 2
-5.0, -2.0, 4.0; 3
-4.0, -2.0, 4.0; 7
-3.0, -2.0, 4.0; 4
-2.0, -2.0, 4.0; 4
-1.0, -2.0, 4.0; 31
0.0, -2.0, 4.0; 19
1.0, -2.0, 4.0; 1
3.0, -2.0, 4.0; 1
5.0, -2.0, 4.0; 1
-8.0, -1.0, 4.0; 2
-6.0, -1.0, 4.0; 2
-5.0, -1.0, 4.0; 3
-4.0, -1.0, 4.0; 9
-3.0, -1.0, 4.0; 18
-2.0, -1.0, 4.0; 12
-1.0, -1.0, 4.0; 26
0.0, -1.0, 4.0; 15
1.0, -1.0, 4.0; 4
-7.0, 0.0, 4.0; 1
-6.0, 0.0, 4.0; 1
-4.0, 0.0, 4.0; 3
-3.0, 0.0, 4.0; 8
-2.0, 0.0, 4.0; 5
-1.0, 0.0, 4.0; 2
1.0, 0.0, 4.0; 1
6.0, 0.0, 4.0; 1
8.0, 0.0, 4.0; 1
-9.0, 1.0, 4.0; 1
-8.0, 1.0, 4.0; 1
-6.0, 1.0, 4.0; 1
-5.0, 1.0, 4.0; 4
-4.0, 1.0, 4.0; 5
-3.0, 1.0, 4.0; 8
-2.0, 1.0, 4.0; 6
-1.0, 1.0, 4.0; 1
0.0, 1.0, 4.0; 1
1.0, 1.0, 4.0; 1
-9.0, 2.0, 4.0; 2
-6.0, 2.0, 4.0; 1
-5.0, 2.0, 4.0; 2
-3.0, 2.0, 4.0; 4
